Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,city,state,population
Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,746515,1979,Seattle,Washington,749256.0
Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",2016-01-19,1289490,1977,Salt Lake,Utah,204657.0
ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,34088,1999,Irving,Texas,254715.0
"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,1048695,1996,Seattle,Washington,749256.0
FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",2021-12-20,1013237,1978,Norwalk,Connecticut,91401.0
Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",2023-03-20,814547,1956,Bozeman,Montana,56123.0
Fastenal,Industrials,Building Products,"Winona, Minnesota",2008-09-15,815556,1967,Winona,Minnesota,25842.0
Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,34903,1962,Rockville,Maryland,66924.0
FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,1048911,1971,Memphis,Tennessee,621056.0
Fifth Third Bank,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858,Cincinnati,Ohio,309513.0
First Solar,Information Technology,Semiconductors,"Tempe, Arizona",2022-12-19,1274494,1999,Tempe,Arizona,185950.0
FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",1997-11-28,1031296,1997,Akron,Ohio,188509.0
FIS,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968,Jacksonville,Florida,971319.0
Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",2001-04-02,798354,1984,Brookfield,Wisconsin,41958.0
Fleetcor,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2018-06-20,1175454,2000,Atlanta,Georgia,499127.0
FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009-08-19,37785,1883,Philadelphia,Pennsylvania,1567258.0
Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903,Dearborn,Michigan,107710.0
Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2018-10-11,1262039,2000,Sunnyvale,California,153091.0
